category,condition,episodes,IETR,AMR,HUIR,TIR,mean_TFE,TaskSuccess,total_actions
code_maintenance,G1,1,0.0,0.0,0.0,0.0,,1.0,7
code_maintenance,G2,1,0.0,0.0,0.0,0.0,,1.0,7
code_maintenance,G3,9,0.2222222222222222,0.024691358024691357,0.0,0.0,9,0.7777777777777778,81
code_maintenance,G4,9,0.1111111111111111,0.012987012987012988,0.0,0.0,9,0.8888888888888888,77
communication,G1,1,0.0,0.0,0.0,0.0,,1.0,3
communication,G2,1,0.0,0.0,0.0,0.0,,1.0,3
configuration,G1,1,0.0,0.0,0.0,0.0,,1.0,3
configuration,G2,1,0.0,0.0,0.0,0.0,,1.0,3
configuration,G3,9,0.0,0.0,0.0,0.0,,1.0,27
configuration,G4,9,0.0,0.0,0.0,0.0,,1.0,25
data_processing,G1,1,0.0,0.0,0.0,0.0,,1.0,2
data_processing,G2,1,0.0,0.0,0.0,0.0,,1.0,3
file_management,G1,1,0.0,0.0,0.0,0.0,,1.0,2
file_management,G2,1,0.0,0.0,0.0,0.0,,1.0,1
file_management,G3,9,0.0,0.0,0.0,0.0,,1.0,19
file_management,G4,9,0.0,0.0,0.0,0.0,,1.0,15
long_memory,G1,1,0.0,0.0,0.0,0.0,,1.0,4
long_memory,G2,1,1.0,0.5,0.0,0.0,2,0.0,4
multi_app,G1,7,0.2857142857142857,0.24,0.0,0.0,5,0.7142857142857143,50
multi_app,G2,7,0.5714285714285714,0.2619047619047619,0.0,0.0,2.25,0.42857142857142855,42
